code,date,big1000,big400,retail,people
8720,20260918,47.39,56.97,27.11,8587.0
8721,20260918,0.0,0.0,61.37,2240.0
8722,20260918,56.92,62.76,23.38,5791.0
8723,20260918,41.3,50.71,31.42,23379.0
8724,20260918,33.65,40.7,48.32,8388.0
8725,20260918,25.28,32.36,43.11,12490.0
8905,20260918,89.63,92.63,3.79,21540.0
8906,20260918,49.92,56.39,23.53,2893.0
8908,20260918,85.98,89.14,6.05,15437.0
8916,20260918,59.75,66.46,19.8,41410.0
8917,20260918,66.25,82.64,3.14,1715.0
8921,20260918,63.01,85.56,4.39,1153.0
8923,20260918,74.55,82.32,6.79,5124.0
8924,20260918,29.73,38.85,46.33,16940.0
8925,20260918,27.53,41.31,26.82,19591.0
8926,20260918,51.74,57.12,27.94,62442.0
8927,20260918,74.84,83.6,7.53,25652.0
8928,20260918,35.67,49.19,30.08,4332.0
8929,20260918,39.18,45.67,38.98,11686.0
8930,20260918,56.81,69.01,18.96,5283.0
8931,20260918,78.36,82.06,8.34,18981.0
8932,20260918,73.8,78.81,9.9,10280.0
8933,20260918,47.69,52.96,30.51,42736.0
8934,20260918,94.77,94.77,1.67,504.0
8935,20260918,42.46,50.88,24.95,38031.0
8936,20260918,23.3,31.29,50.23,75531.0
8937,20260918,88.11,90.89,3.75,3270.0
8938,20260918,46.09,57.68,24.8,12270.0
8940,20260918,62.42,70.7,21.3,9321.0
8941,20260918,43.32,66.68,11.31,2205.0
8942,20260918,41.5,51.34,29.05,13112.0
8945,20260918,0.0,0.0,100.0,2.0
8977,20260918,94.48,96.97,0.0,25.0
8996,20260918,25.13,50.12,21.14,38635.0
8999,20260918,18.91,63.92,5.05,393.0
9103,20260918,4.06,11.73,57.78,21238.0
910322,20260918,27.13,29.32,52.46,7318.0
9105,20260918,16.46,26.54,42.55,115233.0
910861,20260918,23.04,38.63,34.11,2735.0
9110,20260918,21.54,43.75,20.51,1743.0
911608,20260918,13.04,31.12,33.85,2163.0
911611,20260918,28.83,41.32,26.79,3110.0
911613,20260918,0.0,5.99,58.77,1401.0
911622,20260918,42.16,52.38,29.35,1510.0
911868,20260918,26.33,36.58,29.85,6160.0
912000,20260918,23.01,34.38,30.16,6848.0
9136,20260918,60.82,67.52,18.21,4553.0
916665,20260918,0.0,0.0,90.16,366.0
9801,20260918,66.07,69.34,24.25,83354.0
9802,20260918,54.78,63.86,21.31,12171.0
9902,20260918,51.31,57.23,28.32,45131.0
9904,20260918,62.69,67.91,18.33,106799.0
9905,20260918,71.92,74.34,17.1,17139.0
9906,20260918,74.98,78.76,14.94,8168.0
9907,20260918,70.56,74.65,14.69,55361.0
