code,quarter,gross,operating,net
2601.TW,2026Q2,22.87,16.87,-14.9
2603.TW,2026Q2,19.5,14.77,13.06
2605.TW,2026Q2,43.97,33.49,79.66
2606.TW,2026Q2,33.88,28.58,33.28
2607.TW,2026Q2,20.87,11.94,16.05
2608.TW,2026Q2,18.12,11.86,9.07
2609.TW,2026Q2,12.86,7.6,8.65
2610.TW,2026Q2,15.6,7.53,6.37
2611.TW,2026Q2,27.64,8.81,28.67
2612.TW,2026Q2,35.64,25.56,20.96
2613.TW,2026Q2,15.86,9.71,5.43
2614.TW,2026Q2,32.38,6.45,9.78
2615.TW,2026Q2,27.03,22.16,25.11
2616.TW,2026Q2,6.56,-8.06,-8.15
2617.TW,2026Q2,43.52,40.05,27.28
2618.TW,2026Q2,19.83,13.25,10.3
2630.TW,2026Q2,8.49,2.07,1.15
2633.TW,2026Q2,44.12,40.17,13.5
2634.TW,2026Q2,13.93,9.96,7.31
2636.TW,2026Q2,14.81,2.99,4.55
2637.TW,2026Q2,34.47,33.36,31.58
2642.TW,2026Q2,4.19,-8.23,-7.54
2645.TW,2026Q2,24.28,20.27,17.26
2646.TW,2026Q2,11.69,1.81,-1.21
2701.TW,2026Q2,80.06,66.24,101.86
2702.TW,2026Q2,89.13,10.32,6.52
2704.TW,2026Q2,30.08,3.05,86.75
2705.TW,2026Q2,27.55,-0.39,-8.33
2706.TW,2026Q2,76.35,67.38,98.94
2707.TW,2026Q2,34.8,27.28,30.72
2712.TW,2026Q2,17.64,-9.22,-8.56
2722.TW,2026Q2,27.44,-20.26,-21.03
2723.TW,2026Q2,61.38,9.03,7.08
2727.TW,2026Q2,47.63,8.04,6.39
2731.TW,2026Q2,15.12,4.43,4.18
2739.TW,2026Q2,40.39,12.68,9.3
2748.TW,2026Q2,31.84,11.52,9.2
2753.TW,2026Q2,36.03,12.11,9.49
2762.TW,2026Q2,21.58,10.87,7.61
2816.TW,2026Q2,,,
2832.TW,2026Q2,,,
2850.TW,2026Q2,,,
2851.TW,2026Q2,,,
2852.TW,2026Q2,,,
2901.TW,2026Q2,87.0,17.88,23.98
2903.TW,2026Q2,59.14,14.05,5.17
2904.TW,2026Q2,25.12,4.17,5.3
2906.TW,2026Q2,30.61,3.02,4.87
2908.TW,2026Q2,30.99,2.81,3.14
2910.TW,2026Q2,86.46,54.76,63.9
2911.TW,2026Q2,42.51,-16.46,-0.79
2912.TW,2026Q2,34.58,4.22,4.05
2913.TW,2026Q2,36.36,-7.69,-36.14
2915.TW,2026Q2,47.34,6.83,957.4
2923.TW,2026Q2,53.75,14.07,3.73
2929.TW,2026Q2,14.2,-12.5,-10.1
2939.TW,2026Q2,17.35,-27.13,-17.52
2945.TW,2026Q2,26.78,0.71,0.4
3002.TW,2026Q2,8.7,-11.08,-1.88
3003.TW,2026Q2,23.58,10.05,8.28
3004.TW,2026Q2,24.15,13.16,9.97
3005.TW,2026Q2,31.41,15.34,13.62
3006.TW,2026Q2,61.44,44.44,37.57
3008.TW,2026Q2,49.41,37.52,37.32
3010.TW,2026Q2,8.24,4.04,3.82
3011.TW,2026Q2,4.49,-68.68,-73.94
3013.TW,2026Q2,20.82,13.35,9.29
3014.TW,2026Q2,57.21,28.48,26.53
3015.TW,2026Q2,18.18,0.56,3.58
3016.TW,2026Q2,20.91,14.09,12.18
3017.TW,2026Q2,31.17,25.97,19.31
3018.TW,2026Q2,-16.67,-65.35,-104.83
3019.TW,2026Q2,17.91,9.05,6.86
3021.TW,2026Q2,20.03,5.93,2.63
3022.TW,2026Q2,27.87,6.47,14.3
3023.TW,2026Q2,24.53,10.95,10.24
3024.TW,2026Q2,27.76,0.66,3.31
3025.TW,2026Q2,64.15,16.98,27.58
3026.TW,2026Q2,25.27,14.38,13.84
3027.TW,2026Q2,23.25,-4.64,-2.28
3028.TW,2026Q2,8.29,4.64,3.34
3029.TW,2026Q2,12.34,6.32,5.42
3030.TW,2026Q2,59.41,38.59,32.27
3031.TW,2026Q2,27.91,9.26,15.07
3032.TW,2026Q2,23.67,9.91,4.42
3033.TW,2026Q2,6.25,3.65,2.4
3034.TW,2026Q2,40.92,20.26,19.49
3035.TW,2026Q2,46.14,6.21,7.13
3036.TW,2026Q2,3.43,2.11,1.54
3037.TW,2026Q2,21.61,11.71,23.31
3038.TW,2026Q2,21.85,3.83,6.37
3040.TW,2026Q2,60.47,8.94,-9.56
3041.TW,2026Q2,51.1,-19.11,-20.24
3042.TW,2026Q2,32.74,16.0,14.33
3043.TW,2026Q2,24.79,1.96,3.94
3044.TW,2026Q2,28.45,20.58,14.93
3045.TW,2026Q2,21.86,12.15,9.51
3046.TW,2026Q2,8.71,5.45,5.01
3047.TW,2026Q2,25.22,-9.96,-8.65
3048.TW,2026Q2,4.19,2.25,1.16
3049.TW,2026Q2,44.64,7.27,316.49
3050.TW,2026Q2,31.83,-3.15,10.02
3051.TW,2026Q2,34.52,17.5,18.52
3052.TW,2026Q2,9.58,5.06,7.41
3054.TW,2026Q2,53.9,38.01,68.96
3055.TW,2026Q2,31.77,-51.53,-2.86
3056.TW,2026Q2,16.1,-9.5,-4.34
3057.TW,2026Q2,44.17,-9.94,-10.28
3058.TW,2026Q2,13.41,-4.96,-2.0
3059.TW,2026Q2,25.35,6.46,7.02
3060.TW,2026Q2,15.3,4.73,4.45
3062.TW,2026Q2,2.58,-14.5,-14.37
3090.TW,2026Q2,18.91,12.12,14.63
3092.TW,2026Q2,10.1,-25.49,-28.71
3094.TW,2026Q2,74.64,12.54,29.29
3130.TW,2026Q2,87.25,22.48,22.6
3135.TW,2026Q2,22.36,20.31,16.18
3138.TW,2026Q2,43.4,0.8,2.47
3149.TW,2026Q2,-3.7,-17.48,-16.8
3150.TW,2026Q2,44.8,-1.67,0.8
3164.TW,2026Q2,56.8,3.9,7.62
3167.TW,2026Q2,43.45,24.48,17.17
3168.TW,2026Q2,22.96,7.74,7.27
3189.TW,2026Q2,23.77,10.89,10.84
3209.TW,2026Q2,5.12,2.95,2.23
3229.TW,2026Q2,13.18,8.82,10.88
3231.TW,2026Q2,5.44,3.59,2.4
3257.TW,2026Q2,42.64,4.56,17.03
3266.TW,2026Q2,17.13,4.35,3.14
3296.TW,2026Q2,16.57,-1.83,-2.41
3305.TW,2026Q2,18.55,11.49,6.77
3308.TW,2026Q2,62.74,-697.83,977.27
3311.TW,2026Q2,11.02,-0.35,7.13
3312.TW,2026Q2,5.24,2.82,2.75
3321.TW,2026Q2,8.49,-5.01,-5.96
3338.TW,2026Q2,17.86,2.65,2.13
3346.TW,2026Q2,9.48,-4.04,-2.85
3356.TW,2026Q2,48.71,2.94,111.01
3376.TW,2026Q2,11.91,-1.84,1.84
3380.TW,2026Q2,18.05,-0.58,0.28
3406.TW,2026Q2,33.37,18.27,13.41
3413.TW,2026Q2,23.01,12.62,9.05
3416.TW,2026Q2,38.55,17.6,16.22
3419.TW,2026Q2,12.41,-10.44,-9.88
3432.TW,2026Q2,16.28,-11.45,-11.79
3437.TW,2026Q2,1.23,-28.53,-23.99
